country,latestRate,dataYear,pop2021
Liechtenstein,100,2011,38.2500
Greenland,100,2001,56.8770
Andorra,100,2011,77.3550
Luxembourg,100,2000,634.8140
Norway,100,2011,5465.6300
Finland,100,2000,5548.3600
Uzbekistan,99.9952,2015,33935.7630
Latvia,99.8927,2015,1866.9420
Estonia,99.8235,2015,1325.1850
Lithuania,99.8233,2015,2689.8620
Azerbaijan,99.8053,2015,10223.3420
Guam,99.7890,2015,170.1790
Kazakhstan,99.7878,2015,18994.9620
Poland,99.7874,2015,37797.0050
Tajikistan,99.7811,2015,9749.6270
Armenia,99.7684,2015,2968.1270
Ukraine,99.7641,2015,43466.8190
Georgia,99.7596,2015,3979.7650
Belarus,99.7220,2015,9442.8620
Russia,99.7196,2015,145912.0250
Slovenia,99.7148,2015,2078.7240
Cuba,99.7107,2015,11317.5050
Barbados,99.7000,2002,287.7110
Turkmenistan,99.6929,2015,6117.9240
Slovakia,99.6000,2004,5460.7210
Palau,99.5240,2015,18.1690
Kyrgyzstan,99.5013,2015,6628.3560
Tonga,99.3979,2015,106.7600
Hungary,99.3809,2015,9634.1640
Maldives,99.3210,2015,543.6170
Croatia,99.2726,2015,4081.6510
Moldova,99.2444,2015,4024.0190
Cyprus,99.0598,2015,1215.5840
Italy,99.0158,2015,60367.4770
Samoa,99.0150,2015,200.1490
Saint Pierre and Miquelon,99,1982,5.7660
Monaco,99,2003,39.5110
Iceland,99,2003,343.3530
New Zealand,99,2003,4860.6430
Ireland,99,2003,4982.9070
Denmark,99,2003,5813.2980
Switzerland,99,2003,8715.4940
Sweden,99,2003,10160.1690
Belgium,99,2003,11632.3260
Netherlands,99,2003,17173.0990
Australia,99,2003,25788.2150
Canada,99,2003,38067.9030
France,99,2003,65426.1790
United Kingdom,99,2003,68207.1160
Germany,99,2003,83900.4730
Japan,99,2002,126050.8040
United States,99,2003,332915.0730
Trinidad and Tobago,98.9696,2015,1403.3750
Antigua and Barbuda,98.9500,2014,98.7310
Cayman Islands,98.8678,2007,66.4970
Romania,98.7570,2015,19127.7740
Montenegro,98.7199,2015,628.0530
Bosnia and Herzegovina,98.4858,2015,3263.4660
Uruguay,98.4421,2015,3485.1510
Bulgaria,98.3886,2015,6896.6630
Mongolia,98.3676,2015,3329.2890
Marshall Islands,98.2651,2015,59.6100
Spain,98.1145,2015,46745.2160
Argentina,98.0900,2015,45605.8260
Jordan,98.0144,2015,10269.0210
Serbia,98.0029,2015,8697.5500
Turks and Caicos Islands,98,1970,39.2310
Bermuda,98,2005,62.0900
French Polynesia,98,1977,282.5300
Austria,98,2011,9043.0700
South Korea,97.9659,2008,51305.1860
North Macedonia,97.8438,2015,2082.6580
British Virgin Islands,97.8000,1991,30.4210
Saint Kitts and Nevis,97.8000,2003,53.5440
Qatar,97.7571,2015,2930.5280
Costa Rica,97.6472,2015,5139.0520
Albania,97.5539,2015,2872.9330
Aruba,97.5242,2015,107.2040
American Samoa,97.3442,1980,55.1000
Israel,97.1000,2004,8789.7740
Montserrat,97,1970,4.9770
Northern Mariana Islands,97,1980,57.9170
New Caledonia,96.9378,2015,288.2180
Singapore,96.7746,2015,5896.6860
Palestine,96.6680,2015,5222.7480
Brunei,96.6565,2015,441.5320
Chile,96.6275,2015,19212.3610
Philippines,96.6180,2015,111046.9130
Kuwait,96.1177,2015,4328.5500
Taiwan,96.1000,2003,23855.0100
San Marino,96,2011,34.0170
Grenada,96,2003,113.0210
Bahrain,95.7173,2015,1748.2960
Turkey,95.6881,2015,85042.7380
Saint Vincent and the Grenadines,95.6322,1970,111.2630
Bahamas,95.6000,2003,396.9130
Suriname,95.5390,2015,591.8000
Paraguay,95.5361,2015,7219.6380
Indonesia,95.4377,2015,276361.7830
Portugal,95.4281,2015,10167.9250
Venezuela,95.3992,2015,28704.9540
Seychelles,95.3211,2015,98.9080
Greece,95.2929,2015,10370.7440
Equatorial Guinea,95.1957,2015,1449.8960
Bolivia,95.1419,2015,11832.9400
Panama,95.0382,2015,4381.5790
Niue,95,2011,1.6190
Anguilla,95,1984,15.1170
Cook Islands,95,2011,17.5650
Saudi Arabia,94.8424,2015,35340.6830
Malaysia,94.6370,2015,32776.1940
South Africa,94.5979,2015,60041.9940
Colombia,94.5771,2015,51265.8440
Mexico,94.5456,2015,130262.2160
Ecuador,94.5155,2015,17888.4750
Vietnam,94.5143,2015,98168.8330
Peru,94.3744,2015,33359.4180
Malta,94.0666,2015,442.7840
Lebanon,94.0511,2015,6769.1460
Dominica,94,2003,72.1670
Thailand,93.9830,2015,69950.8500
Oman,93.9716,2015,5223.3750
Fiji,93.7000,2003,902.9060
Hong Kong,93.5000,2002,7552.8100
Puerto Rico,93.3294,2015,2828.2550
Myanmar,93.0901,2015,54806.0120
United Arab Emirates,92.9864,2015,9991.0890
Sri Lanka,92.6142,2015,21497.3100
Brazil,92.5868,2015,213993.4370
Dominican Republic,92.4654,2015,10953.7030
Sao Tome and Principe,91.7471,2015,223.3680
Libya,91.3889,2015,6958.5320
Namibia,90.8205,2015,2587.3440
Mauritius,90.6160,2015,1273.4330
Saint Lucia,90.1000,2001,184.4000
Micronesia,89,1980,116.2540
Jamaica,88.4999,2015,2973.4630
Cape Verde,88.4654,2015,561.8980
Honduras,88.4246,2015,10062.9910
Botswana,88.2244,2015,2397.2410
El Salvador,87.6482,2015,6518.4990
Guyana,87.5353,2015,790.3260
Eswatini,87.4702,2015,1172.3620
Iran,87.1725,2015,85028.7590
Zimbabwe,86.8735,2015,15092.1710
Syria,86.3039,2015,18275.7020
Burundi,85.4961,2015,12255.4330
Zambia,85.1173,2015,18920.6510
Vanuatu,85.0587,2015,314.4640
Solomon Islands,84.1000,2011,703.9960
Gabon,83.2379,2015,2278.8250
Belize,82.7768,2015,404.9140
Nicaragua,82.4718,2015,6702.3850
Tunisia,81.0542,2015,11935.7660
Tanzania,80.3595,2015,61498.4370
Gibraltar,80,2011,33.6980
Laos,79.8675,2015,7379.3580
Iraq,79.7218,2015,41179.3500
Algeria,79.6084,2015,44616.6240
Lesotho,79.3609,2015,2159.0790
Guatemala,79.0742,2015,18249.8600
Cambodia,78.3459,2015,16946.4380
Comoros,78.1374,2015,888.4510
Kenya,78.0234,2015,54985.6980
DR Congo,77.2217,2015,92377.9930
Ghana,76.5759,2015,31732.1290
Egypt,75.8426,2015,104258.3270
Cameroon,74.9856,2015,27224.2650
Eritrea,73.8453,2015,3601.4670
Uganda,73.8098,2015,47123.5310
Morocco,71.7105,2015,37344.7950
Rwanda,71.2435,2015,13276.5130
Angola,71.1642,2015,33933.6100
Yemen,69.9620,2015,30490.6400
Djibouti,67.9000,2003,1002.1870
Togo,66.5376,2015,8478.2500
Malawi,65.9638,2015,19647.6840
Nepal,64.6636,2015,29674.9200
Madagascar,64.6563,2015,28427.3280
Bhutan,63.9068,2015,779.8980
Papua New Guinea,63.4335,2015,9119.0100
Bangladesh,61.4938,2015,166303.4980
Haiti,60.6893,2015,11541.6850
Guinea-Bissau,59.7728,2015,2015.4940
Nigeria,59.5681,2015,211400.7080
Mozambique,58.8366,2015,32163.0470
Sudan,58.6013,2015,44909.3530
Pakistan,56.4403,2015,225199.9370
Senegal,55.6249,2015,17196.3010
Gambia,55.5728,2015,2486.9450
Mauritania,52.1236,2015,4775.1190
Wallis and Futuna,50,1969,11.0940
Ethiopia,49.0315,2015,117876.2270
Sierra Leone,48.4319,2015,8141.3430
Liberia,47.6001,2015,5180.2030
Ivory Coast,43.2653,2015,27053.6290
Chad,40.0182,2015,16914.9850
Benin,38.4471,2015,12451.0400
Afghanistan,38.1680,2015,39835.4280
Somalia,37.8000,2001,16359.5040
Burkina Faso,37.7467,2015,21497.0960
Central African Republic,36.7526,2015,4919.9810
Mali,33.0689,2015,20855.7350
South Sudan,31.9763,2015,11381.3780
Guinea,30.4728,2015,13497.2440
Niger,19.1026,2015,25130.8170
